Year,5-Year_MA,Month,Temperature_Values,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Avg_Seasonal_Temp
1880,-0.6406136882142807,Jan,-0.7003267925132923,0,0,0,1,-0.7003267925132923
1881,-0.5824244293682513,Jan,-0.7003267925132923,0,0,0,1,-0.7003267925132923
1882,-0.556562536547794,Jan,-0.3809638301356127,0,0,0,1,-0.3809638301356127
1883,-0.5521175237192778,Jan,-0.5292394912395354,0,0,0,1,-0.5292394912395354
1884,-0.5663254010875166,Jan,-0.5251333960089651,0,0,0,1,-0.5251333960089651
1885,-0.5814546083874843,Jan,-0.738650347998614,0,0,0,1,-0.738650347998614
1886,-0.6454627931181164,Jan,-0.8700453953768592,0,0,0,1,-0.8700453953768592
1887,-0.7424448911948319,Jan,-1.3463524421229982,0,0,0,1,-1.3463524421229982
1888,-0.8326382424061773,Jan,-1.3682516166860395,0,0,0,1,-1.3682516166860395
1889,-0.8850085753676036,Jan,-1.3518272357637586,0,0,0,1,-1.3518272357637586
1890,-0.921085915852142,Jan,-1.258755743870835,0,0,0,1,-1.258755743870835
1891,-0.921085915852142,Jan,-1.2040078074632328,0,0,0,1,-1.2040078074632328
1892,-0.8815172198368421,Jan,-0.9740664745513034,0,0,0,1,-0.9740664745513034
1893,-0.8582415162984303,Jan,-1.2313817756670338,0,0,0,1,-1.2313817756670338
1894,-0.8791896494830008,Jan,-1.4667979022197235,0,0,0,1,-1.4667979022197235
1895,-0.8826810050137625,Jan,-1.4667979022197235,0,0,0,1,-1.4667979022197235
1896,-0.8838447901906831,Jan,-1.4065751721713609,0,0,0,1,-1.4065751721713609
1897,-0.8768620791291596,Jan,-1.3299280612007178,0,0,0,1,-1.3299280612007178
1898,-0.8489312348830655,Jan,-0.9028941572214206,0,0,0,1,-0.9028941572214206
1899,-0.7825954797985921,Jan,-0.7058015861540526,0,0,0,1,-0.7058015861540526
1900,-0.7150959395371982,Jan,-0.6784276179502514,0,0,0,1,-0.6784276179502514
1901,-0.6650531769296131,Jan,-0.6784276179502514,0,0,0,1,-0.6784276179502514
1902,-0.6534153251604071,Jan,-0.6784276179502514,0,0,0,1,-0.6784276179502514
1903,-0.6580704658680895,Jan,-0.7988730780469764,0,0,0,1,-0.7988730780469764
1904,-0.712768369183357,Jan,-1.0561883791627067,0,0,0,1,-1.0561883791627067
1905,-0.8047073981600833,Jan,-1.0507135855219465,0,0,0,1,-1.0507135855219465
1906,-0.8989739974906509,Jan,-1.0780875537257475,0,0,0,1,-1.0780875537257475
1907,-0.985094100582774,Jan,-1.2259069820262736,0,0,0,1,-1.2259069820262736
1908,-1.0653952777902944,Jan,-1.3354028548414782,0,0,0,1,-1.3354028548414782
1909,-1.1119466848671178,Jan,-1.39015079124908,0,0,0,1,-1.39015079124908
1910,-1.1573343067670208,Jan,-1.4284743467344019,0,0,0,1,-1.4284743467344019
1911,-1.221342491497653,Jan,-1.6146173305202491,0,0,0,1,-1.6146173305202491
1912,-1.271385254105238,Jan,-1.5215458386273253,0,0,0,1,-1.5215458386273253
1913,-1.3062988094128556,Jan,-1.4996466640642845,0,0,0,1,-1.4996466640642845
1914,-1.3016436687051733,Jan,-1.0780875537257475,0,0,0,1,-1.0780875537257475
1915,-1.243454409859144,Jan,-0.963116887269783,0,0,0,1,-0.963116887269783
1916,-1.1515153808824177,Jan,-0.6948519988725321,0,0,0,1,-0.6948519988725321
1917,-1.072377988851818,Jan,-0.8645706017360989,0,0,0,1,-0.8645706017360989
1918,-0.9967319523519798,Jan,-0.9083689508621806,0,0,0,1,-0.9083689508621806
1919,-0.9734562488135682,Jan,-1.039763998240426,0,0,0,1,-1.039763998240426
1920,-0.999059522705821,Jan,-1.0561883791627067,0,0,0,1,-1.0561883791627067
1921,-1.0118611596519476,Jan,-1.0123900300366249,0,0,0,1,-1.0123900300366249
1922,-0.9944043819981386,Jan,-0.8864697762991399,0,0,0,1,-0.8864697762991399
1923,-0.979275174698171,Jan,-0.7660243162024151,0,0,0,1,-0.7660243162024151
1924,-0.9490167600982358,Jan,-0.7714991098431753,0,0,0,1,-0.7714991098431753
1925,-0.8966464271368095,Jan,-0.8426714271730582,0,0,0,1,-0.8426714271730582
1926,-0.855913945944589,Jan,-0.7003267925132923,0,0,0,1,-0.7003267925132923
1927,-0.8268193165215746,Jan,-0.6620032370279708,0,0,0,1,-0.6620032370279708
1928,-0.7930695463908775,Jan,-0.5306081896497254,0,0,0,1,-0.5306081896497254
1929,-0.7709576280293863,Jan,-0.6565284433872105,0,0,0,1,-0.6565284433872105
1930,-0.7488457096678952,Jan,-0.618204887901889,0,0,0,1,-0.618204887901889
1931,-0.7348802875448481,Jan,-0.7933982844062162,0,0,0,1,-0.7933982844062162
1932,-0.7220786505987217,Jan,-0.5634569514942868,0,0,0,1,-0.5634569514942868
1933,-0.726733791306404,Jan,-0.6784276179502514,0,0,0,1,-0.6784276179502514
1934,-0.692984021175707,Jan,-0.547032570572006,0,0,0,1,-0.547032570572006
1935,-0.6708721028142159,Jan,-0.5634569514942869,0,0,0,1,-0.5634569514942869
1936,-0.6557428955142481,Jan,-0.6565284433872105,0,0,0,1,-0.6565284433872105
1937,-0.6324671919758366,Jan,-0.7769739034839356,0,0,0,1,-0.7769739034839356
1938,-0.5672952220682838,Jan,-0.6017805069796084,0,0,0,1,-0.6017805069796084
1939,-0.5184162446376193,Jan,-0.5141838087274448,0,0,0,1,-0.5141838087274448
1940,-0.42764100083781353,Jan,-0.3335156185823575,0,0,0,1,-0.3335156185823575
1941,-0.2926419203150256,Jan,-0.08714990474814756,0,0,0,1,-0.08714990474814756
1942,-0.16229798049992003,Jan,0.1099426663192204,0,0,0,1,0.1099426663192204
1943,-0.05406595904630558,Jan,0.060669523552378396,0,0,0,1,0.060669523552378396
1944,0.0681314845303559,Jan,0.28513606282354753,0,0,0,1,0.28513606282354753
1945,0.14959644691479687,Jan,0.34535879287190996,0,0,0,1,0.34535879287190996
1946,0.16356186903784395,Jan,0.3344092055903895,0,0,0,1,0.3344092055903895
1947,0.15657915797632038,Jan,0.13731663452302148,0,0,0,1,0.13731663452302148
1948,0.1158466767840999,Jan,0.17564019000834302,0,0,0,1,0.17564019000834302
1949,0.013433581215088374,Jan,0.011396380785536418,0,0,0,1,0.011396380785536418
1950,-0.11574657342309662,Jan,-0.19117098392259177,0,0,0,1,-0.19117098392259177
1951,-0.21583209863826694,Jan,-0.45943587231984273,0,0,0,1,-0.45943587231984273
1952,-0.3007884165534697,Jan,-0.3608895867861586,0,0,0,1,-0.3608895867861586
1953,-0.3403571125687696,Jan,-0.3554147931453984,0,0,0,1,-0.3554147931453984
1954,-0.3461760384533725,Jan,-0.519658602368205,0,0,0,1,-0.519658602368205
1955,-0.3182451942072785,Jan,-0.3006668567377962,0,0,0,1,-0.3006668567377962
1956,-0.30427977208423146,Jan,-0.18569619028183154,0,0,0,1,-0.18569619028183154
1957,-0.29031434996118444,Jan,-0.29519206309703594,0,0,0,1,-0.29519206309703594
1958,-0.3007884165534697,Jan,-0.11999866659270886,0,0,0,1,-0.11999866659270886
1959,-0.29031434996118444,Jan,0.05519472991161825,0,0,0,1,0.05519472991161825
1960,-0.2705300019535345,Jan,-0.015977587418264657,0,0,0,1,-0.015977587418264657
1961,-0.20768560239982287,Jan,0.0935182853969398,0,0,0,1,0.0935182853969398
1962,-0.15182391390763478,Jan,0.17016539636758285,0,0,0,1,0.17016539636758285
1963,-0.09479844023852607,Jan,-0.05977593654434641,0,0,0,1,-0.05977593654434641
1964,-0.08316058846932023,Jan,-0.15284742843727017,0,0,0,1,-0.15284742843727017
1965,-0.0936346550616055,Jan,-0.19664577756335194,0,0,0,1,-0.19664577756335194
